season,location,matchday_nr,home_team_id,home_team_name,away_team_id,away_team_name,goals_home,goals_away,draw,win_home,win_away,outcome
2005,München,1,40,FC Bayern München,87,Borussia Mönchengladbach,3,0,0.0,1.0,0.0,win_home
2005,Köln,1,65,1. FC Köln,81,1. FSV Mainz 05,1,0,0.0,1.0,0.0,win_home
2005,Duisburg,1,107,MSV Duisburg,16,VfB Stuttgart,1,1,1.0,0.0,0.0,draw
2005,Hamburg,1,100,Hamburger SV,79,1. FC Nürnberg,3,0,0.0,1.0,0.0,win_home
2005,Wolfsburg,1,131,VfL Wolfsburg,7,Borussia Dortmund,2,2,1.0,0.0,0.0,draw
2005,Bremen,1,134,Werder Bremen,83,Arminia Bielefeld,5,2,0.0,1.0,0.0,win_home
2005,Hannover,1,55,Hannover 96,54,Hertha BSC,2,2,1.0,0.0,0.0,draw
2005,Gelsenkirchen,1,9,FC Schalke 04,76,1. FC Kaiserslautern,2,1,0.0,1.0,0.0,win_home
2005,Frankfurt,1,91,Eintracht Frankfurt,6,Bayer Leverkusen,1,4,0.0,0.0,1.0,win_away
2005,Leverkusen,2,6,Bayer Leverkusen,40,FC Bayern München,2,5,0.0,0.0,1.0,win_away
2005,Gladbach,2,87,Borussia Mönchengladbach,131,VfL Wolfsburg,1,1,1.0,0.0,0.0,draw
2005,Dortmund,2,7,Borussia Dortmund,9,FC Schalke 04,1,2,0.0,0.0,1.0,win_away
2005,Berlin,2,54,Hertha BSC,91,Eintracht Frankfurt,2,0,0.0,1.0,0.0,win_home
2005,Kaiserslautern,2,76,1. FC Kaiserslautern,107,MSV Duisburg,5,3,0.0,1.0,0.0,win_home
2005,Nürnberg,2,79,1. FC Nürnberg,55,Hannover 96,1,1,1.0,0.0,0.0,draw
2005,Bielefeld,2,83,Arminia Bielefeld,100,Hamburger SV,0,2,0.0,0.0,1.0,win_away
2005,Stuttgart,2,16,VfB Stuttgart,65,1. FC Köln,2,3,0.0,0.0,1.0,win_away
2005,Mainz,2,81,1. FSV Mainz 05,134,Werder Bremen,0,2,0.0,0.0,1.0,win_away
2005,Köln,3,65,1. FC Köln,76,1. FC Kaiserslautern,2,3,0.0,0.0,1.0,win_away
2005,Gelsenkirchen,3,9,FC Schalke 04,87,Borussia Mönchengladbach,1,1,1.0,0.0,0.0,draw
2005,Hamburg,3,100,Hamburger SV,55,Hannover 96,1,1,1.0,0.0,0.0,draw
2005,Wolfsburg,3,131,VfL Wolfsburg,6,Bayer Leverkusen,2,1,0.0,1.0,0.0,win_home
2005,Bremen,3,134,Werder Bremen,16,VfB Stuttgart,1,1,1.0,0.0,0.0,draw
2005,München,3,40,FC Bayern München,54,Hertha BSC,3,0,0.0,1.0,0.0,win_home
2005,Frankfurt,3,91,Eintracht Frankfurt,79,1. FC Nürnberg,1,0,0.0,1.0,0.0,win_home
2005,Duisburg,3,107,MSV Duisburg,7,Borussia Dortmund,1,1,1.0,0.0,0.0,draw
2005,Bielefeld,3,83,Arminia Bielefeld,81,1. FSV Mainz 05,2,0,0.0,1.0,0.0,win_home
2005,Leverkusen,4,6,Bayer Leverkusen,9,FC Schalke 04,1,1,1.0,0.0,0.0,draw
2005,Gladbach,4,87,Borussia Mönchengladbach,107,MSV Duisburg,2,1,0.0,1.0,0.0,win_home
2005,Kaiserslautern,4,76,1. FC Kaiserslautern,134,Werder Bremen,1,5,0.0,0.0,1.0,win_away
2005,Nürnberg,4,79,1. FC Nürnberg,40,FC Bayern München,1,2,0.0,0.0,1.0,win_away
