season_x,location,matchday_nr_x,home_team_id,home_team_name_x,away_team_id,away_team_name_x,goals_home,goals_away,outcome,total_goals,identifier,hist_home_team_win,hist_draw,hist_away_team_win,hist_goal_dif
2007,Stuttgart,1,16,VfB Stuttgart,9,FC Schalke 04,2,2,draw,4,2007_VfB Stuttgart_FC Schalke 04,35.0,12.0,27.0,36.0
2007,München,1,40,FC Bayern München,102,FC Hansa Rostock,3,0,win_home,3,2007_FC Bayern München_FC Hansa Rostock,14.0,2.0,6.0,25.0
2007,Leverkusen,1,6,Bayer Leverkusen,93,FC Energie Cottbus,0,0,draw,0,2007_Bayer Leverkusen_FC Energie Cottbus,4.0,1.0,3.0,0.0
2007,Bochum,1,129,VfL Bochum,134,Werder Bremen,2,2,draw,4,2007_VfL Bochum_Werder Bremen,9.0,13.0,38.0,-63.0
2007,Hannover,1,55,Hannover 96,100,Hamburger SV,0,1,win_away,1,2007_Hannover 96_Hamburger SV,12.0,10.0,16.0,-10.0
2007,Frankfurt,1,91,Eintracht Frankfurt,54,Hertha BSC,1,0,win_home,1,2007_Eintracht Frankfurt_Hertha BSC,13.0,11.0,22.0,-16.0
2007,Wolfsburg,1,131,VfL Wolfsburg,83,Arminia Bielefeld,1,3,win_away,4,2007_VfL Wolfsburg_Arminia Bielefeld,7.0,6.0,5.0,3.0
2007,Nürnberg,1,79,1. FC Nürnberg,105,Karlsruher SC,0,2,win_away,2,2007_1. FC Nürnberg_Karlsruher SC,18.0,11.0,11.0,18.0
2007,Dortmund,1,7,Borussia Dortmund,107,MSV Duisburg,1,3,win_away,4,2007_Borussia Dortmund_MSV Duisburg,24.0,12.0,10.0,33.0
2007,Karlsruhe,2,105,Karlsruher SC,55,Hannover 96,1,2,win_away,3,2007_Karlsruher SC_Hannover 96,9.0,2.0,13.0,-17.0
2007,Gelsenkirchen,2,9,FC Schalke 04,7,Borussia Dortmund,4,1,win_home,5,2007_FC Schalke 04_Borussia Dortmund,23.0,21.0,26.0,-11.0
2007,Bremen,2,134,Werder Bremen,40,FC Bayern München,0,4,win_away,4,2007_Werder Bremen_FC Bayern München,25.0,21.0,36.0,-34.0
2007,Berlin,2,54,Hertha BSC,16,VfB Stuttgart,3,1,win_home,4,2007_Hertha BSC_VfB Stuttgart,17.0,14.0,17.0,-7.0
2007,Bielefeld,2,83,Arminia Bielefeld,91,Eintracht Frankfurt,2,2,draw,4,2007_Arminia Bielefeld_Eintracht Frankfurt,8.0,6.0,10.0,-3.0
2007,Rostock,2,102,FC Hansa Rostock,79,1. FC Nürnberg,1,2,win_away,3,2007_FC Hansa Rostock_1. FC Nürnberg,6.0,3.0,3.0,7.0
2007,Duisburg,2,107,MSV Duisburg,131,VfL Wolfsburg,1,3,win_away,4,2007_MSV Duisburg_VfL Wolfsburg,6.0,2.0,4.0,8.0
2007,Hamburg,2,100,Hamburger SV,6,Bayer Leverkusen,1,0,win_home,1,2007_Hamburger SV_Bayer Leverkusen,22.0,14.0,20.0,-6.0
2007,Cottbus,2,93,FC Energie Cottbus,129,VfL Bochum,1,2,win_away,3,2007_FC Energie Cottbus_VfL Bochum,4.0,3.0,3.0,-1.0
2007,Bochum,3,129,VfL Bochum,100,Hamburger SV,2,1,win_home,3,2007_VfL Bochum_Hamburger SV,17.0,18.0,27.0,-21.0
2007,Stuttgart,3,16,VfB Stuttgart,107,MSV Duisburg,1,0,win_home,1,2007_VfB Stuttgart_MSV Duisburg,23.0,10.0,17.0,15.0
2007,München,3,40,FC Bayern München,55,Hannover 96,3,0,win_home,3,2007_FC Bayern München_Hannover 96,22.0,8.0,6.0,50.0
2007,Leverkusen,3,6,Bayer Leverkusen,105,Karlsruher SC,3,0,win_home,3,2007_Bayer Leverkusen_Karlsruher SC,15.0,11.0,4.0,27.0
2007,Nürnberg,3,79,1. FC Nürnberg,134,Werder Bremen,0,1,win_away,1,2007_1. FC Nürnberg_Werder Bremen,13.0,13.0,24.0,-20.0
2007,Dortmund,3,7,Borussia Dortmund,93,FC Energie Cottbus,3,0,win_home,3,2007_Borussia Dortmund_FC Energie Cottbus,6.0,1.0,1.0,14.0
2007,Bielefeld,3,83,Arminia Bielefeld,54,Hertha BSC,2,0,win_home,2,2007_Arminia Bielefeld_Hertha BSC,6.0,12.0,6.0,-3.0
2007,Frankfurt,3,91,Eintracht Frankfurt,102,FC Hansa Rostock,1,0,win_home,1,2007_Eintracht Frankfurt_FC Hansa Rostock,3.0,5.0,4.0,0.0
2007,Wolfsburg,3,131,VfL Wolfsburg,9,FC Schalke 04,1,1,draw,2,2007_VfL Wolfsburg_FC Schalke 04,4.0,10.0,6.0,-2.0
2007,Gelsenkirchen,4,9,FC Schalke 04,6,Bayer Leverkusen,1,1,draw,2,2007_FC Schalke 04_Bayer Leverkusen,11.0,15.0,20.0,-17.0
2007,Bremen,4,134,Werder Bremen,91,Eintracht Frankfurt,2,1,win_home,3,2007_Werder Bremen_Eintracht Frankfurt,35.0,15.0,26.0,12.0
2007,Berlin,4,54,Hertha BSC,131,VfL Wolfsburg,2,1,win_home,3,2007_Hertha BSC_VfL Wolfsburg,14.0,7.0,9.0,12.0
2007,Hannover,4,55,Hannover 96,129,VfL Bochum,3,2,win_home,5,2007_Hannover 96_VfL Bochum,9.0,8.0,13.0,-1.0
2007,Cottbus,4,93,FC Energie Cottbus,79,1. FC Nürnberg,1,1,draw,2,2007_FC Energie Cottbus_1. FC Nürnberg,3.0,6.0,3.0,-1.0
2007,Rostock,4,102,FC Hansa Rostock,7,Borussia Dortmund,0,1,win_away,1,2007_FC Hansa Rostock_Borussia Dortmund,7.0,1.0,14.0,-14.0
2007,Duisburg,4,107,MSV Duisburg,83,Arminia Bielefeld,3,0,win_home,3,2007_MSV Duisburg_Arminia Bielefeld,8.0,11.0,9.0,-1.0
2007,Hamburg,4,100,Hamburger SV,40,FC Bayern München,1,1,draw,2,2007_Hamburger SV_FC Bayern München,17.0,16.0,51.0,-91.0
2007,Karlsruhe,4,105,Karlsruher SC,16,VfB Stuttgart,1,0,win_home,1,2007_Karlsruher SC_VfB Stuttgart,7.0,9.0,24.0,-41.0
2007,Dortmund,5,7,Borussia Dortmund,134,Werder Bremen,3,0,win_home,3,2007_Borussia Dortmund_Werder Bremen,27.0,14.0,37.0,-27.0
2007,Stuttgart,5,16,VfB Stuttgart,93,FC Energie Cottbus,3,0,win_home,3,2007_VfB Stuttgart_FC Energie Cottbus,3.0,4.0,1.0,2.0
2007,München,5,40,FC Bayern München,9,FC Schalke 04,1,1,draw,2,2007_FC Bayern München_FC Schalke 04,35.0,23.0,16.0,66.0
2007,Leverkusen,5,6,Bayer Leverkusen,129,VfL Bochum,2,0,win_home,2,2007_Bayer Leverkusen_VfL Bochum,21.0,10.0,15.0,16.0
2007,Nürnberg,5,79,1. FC Nürnberg,55,Hannover 96,2,2,draw,4,2007_1. FC Nürnberg_Hannover 96,12.0,13.0,9.0,5.0
2007,Bielefeld,5,83,Arminia Bielefeld,102,FC Hansa Rostock,4,2,win_home,6,2007_Arminia Bielefeld_FC Hansa Rostock,1.0,3.0,6.0,-7.0
2007,Frankfurt,5,91,Eintracht Frankfurt,100,Hamburger SV,2,1,win_home,3,2007_Eintracht Frankfurt_Hamburger SV,24.0,18.0,36.0,-43.0
2007,Wolfsburg,5,131,VfL Wolfsburg,105,Karlsruher SC,1,2,win_away,3,2007_VfL Wolfsburg_Karlsruher SC,0.0,0.0,2.0,-2.0
2007,Duisburg,5,107,MSV Duisburg,54,Hertha BSC,1,2,win_away,3,2007_MSV Duisburg_Hertha BSC,19.0,12.0,17.0,0.0
2007,Bochum,6,129,VfL Bochum,91,Eintracht Frankfurt,0,0,draw,0,2007_VfL Bochum_Eintracht Frankfurt,23.0,13.0,20.0,-4.0
2007,Gelsenkirchen,6,9,FC Schalke 04,83,Arminia Bielefeld,3,0,win_home,3,2007_FC Schalke 04_Arminia Bielefeld,14.0,6.0,6.0,23.0
2007,Bremen,6,134,Werder Bremen,16,VfB Stuttgart,4,1,win_home,5,2007_Werder Bremen_VfB Stuttgart,27.0,26.0,29.0,14.0
2007,Hamburg,6,100,Hamburger SV,79,1. FC Nürnberg,1,0,win_home,1,2007_Hamburger SV_1. FC Nürnberg,28.0,12.0,12.0,41.0
2007,Berlin,6,54,Hertha BSC,7,Borussia Dortmund,3,2,win_home,5,2007_Hertha BSC_Borussia Dortmund,13.0,11.0,20.0,-15.0
2007,Cottbus,6,93,FC Energie Cottbus,131,VfL Wolfsburg,1,2,win_away,3,2007_FC Energie Cottbus_VfL Wolfsburg,1.0,4.0,3.0,-2.0
2007,Rostock,6,102,FC Hansa Rostock,107,MSV Duisburg,2,0,win_home,2,2007_FC Hansa Rostock_MSV Duisburg,8.0,2.0,4.0,5.0
2007,Hannover,6,55,Hannover 96,6,Bayer Leverkusen,0,3,win_away,3,2007_Hannover 96_Bayer Leverkusen,5.0,7.0,10.0,-6.0
2007,Karlsruhe,6,105,Karlsruher SC,40,FC Bayern München,1,4,win_away,5,2007_Karlsruher SC_FC Bayern München,6.0,9.0,25.0,-52.0
2007,Dortmund,7,7,Borussia Dortmund,100,Hamburger SV,0,3,win_away,3,2007_Borussia Dortmund_Hamburger SV,27.0,26.0,27.0,-6.0
2007,Berlin,7,54,Hertha BSC,102,FC Hansa Rostock,1,3,win_away,4,2007_Hertha BSC_FC Hansa Rostock,11.0,5.0,6.0,10.0
2007,Wolfsburg,7,131,VfL Wolfsburg,134,Werder Bremen,1,1,draw,2,2007_VfL Wolfsburg_Werder Bremen,7.0,3.0,10.0,-14.0
2007,Duisburg,7,107,MSV Duisburg,9,FC Schalke 04,0,2,win_away,2,2007_MSV Duisburg_FC Schalke 04,22.0,15.0,21.0,-2.0
2007,Stuttgart,7,16,VfB Stuttgart,129,VfL Bochum,1,0,win_home,1,2007_VfB Stuttgart_VfL Bochum,29.0,14.0,15.0,27.0
2007,München,7,40,FC Bayern München,93,FC Energie Cottbus,5,0,win_home,5,2007_FC Bayern München_FC Energie Cottbus,7.0,0.0,1.0,18.0
2007,Nürnberg,7,79,1. FC Nürnberg,6,Bayer Leverkusen,1,2,win_away,3,2007_1. FC Nürnberg_Bayer Leverkusen,9.0,12.0,17.0,-24.0
2007,Bielefeld,7,83,Arminia Bielefeld,55,Hannover 96,0,2,win_away,2,2007_Arminia Bielefeld_Hannover 96,13.0,5.0,12.0,1.0
2007,Frankfurt,7,91,Eintracht Frankfurt,105,Karlsruher SC,0,1,win_away,1,2007_Eintracht Frankfurt_Karlsruher SC,22.0,11.0,13.0,11.0
2007,Gelsenkirchen,8,9,FC Schalke 04,54,Hertha BSC,1,0,win_home,1,2007_FC Schalke 04_Hertha BSC,23.0,10.0,25.0,6.0
2007,Bremen,8,134,Werder Bremen,83,Arminia Bielefeld,8,1,win_home,9,2007_Werder Bremen_Arminia Bielefeld,18.0,2.0,8.0,21.0
2007,Leverkusen,8,6,Bayer Leverkusen,40,FC Bayern München,0,1,win_away,1,2007_Bayer Leverkusen_FC Bayern München,13.0,10.0,33.0,-37.0
2007,Hamburg,8,100,Hamburger SV,131,VfL Wolfsburg,2,2,draw,4,2007_Hamburger SV_VfL Wolfsburg,7.0,6.0,7.0,-2.0
2007,Bochum,8,129,VfL Bochum,79,1. FC Nürnberg,3,3,draw,6,2007_VfL Bochum_1. FC Nürnberg,19.0,6.0,13.0,21.0
2007,Karlsruhe,8,105,Karlsruher SC,7,Borussia Dortmund,3,1,win_home,4,2007_Karlsruher SC_Borussia Dortmund,10.0,12.0,20.0,-21.0
2007,Rostock,8,102,FC Hansa Rostock,16,VfB Stuttgart,2,1,win_home,3,2007_FC Hansa Rostock_VfB Stuttgart,3.0,9.0,10.0,-17.0
2007,Hannover,8,55,Hannover 96,107,MSV Duisburg,2,1,win_home,3,2007_Hannover 96_MSV Duisburg,10.0,15.0,17.0,-9.0
2007,Cottbus,8,93,FC Energie Cottbus,91,Eintracht Frankfurt,2,2,draw,4,2007_FC Energie Cottbus_Eintracht Frankfurt,2.0,0.0,6.0,-6.0
2007,Dortmund,9,7,Borussia Dortmund,129,VfL Bochum,2,1,win_home,3,2007_Borussia Dortmund_VfL Bochum,20.0,18.0,16.0,7.0
2007,Stuttgart,9,16,VfB Stuttgart,55,Hannover 96,0,2,win_away,2,2007_VfB Stuttgart_Hannover 96,18.0,5.0,13.0,10.0
2007,Gelsenkirchen,9,9,FC Schalke 04,105,Karlsruher SC,0,2,win_away,2,2007_FC Schalke 04_Karlsruher SC,13.0,16.0,9.0,13.0
2007,Berlin,9,54,Hertha BSC,93,FC Energie Cottbus,0,0,draw,0,2007_Hertha BSC_FC Energie Cottbus,3.0,0.0,5.0,-2.0
2007,Bielefeld,9,83,Arminia Bielefeld,100,Hamburger SV,0,1,win_away,1,2007_Arminia Bielefeld_Hamburger SV,5.0,8.0,17.0,-24.0
2007,Wolfsburg,9,131,VfL Wolfsburg,102,FC Hansa Rostock,1,0,win_home,1,2007_VfL Wolfsburg_FC Hansa Rostock,10.0,6.0,6.0,6.0
2007,Duisburg,9,107,MSV Duisburg,134,Werder Bremen,1,3,win_away,4,2007_MSV Duisburg_Werder Bremen,21.0,12.0,19.0,4.0
2007,München,9,40,FC Bayern München,79,1. FC Nürnberg,3,0,win_home,3,2007_FC Bayern München_1. FC Nürnberg,29.0,8.0,11.0,27.0
2007,Frankfurt,9,91,Eintracht Frankfurt,6,Bayer Leverkusen,2,1,win_home,3,2007_Eintracht Frankfurt_Bayer Leverkusen,16.0,11.0,19.0,-4.0
2007,Cottbus,10,93,FC Energie Cottbus,107,MSV Duisburg,1,2,win_away,3,2007_FC Energie Cottbus_MSV Duisburg,1.0,1.0,2.0,-3.0
2007,Bremen,10,134,Werder Bremen,54,Hertha BSC,3,2,win_home,5,2007_Werder Bremen_Hertha BSC,26.0,12.0,16.0,29.0
2007,Leverkusen,10,6,Bayer Leverkusen,7,Borussia Dortmund,2,2,draw,4,2007_Bayer Leverkusen_Borussia Dortmund,23.0,15.0,20.0,3.0
2007,Nürnberg,10,79,1. FC Nürnberg,91,Eintracht Frankfurt,5,1,win_home,6,2007_1. FC Nürnberg_Eintracht Frankfurt,11.0,15.0,22.0,-27.0
2007,Hamburg,10,100,Hamburger SV,16,VfB Stuttgart,4,1,win_home,5,2007_Hamburger SV_VfB Stuttgart,35.0,20.0,29.0,-7.0
2007,Bochum,10,129,VfL Bochum,40,FC Bayern München,1,2,win_away,3,2007_VfL Bochum_FC Bayern München,8.0,14.0,40.0,-79.0
2007,Rostock,10,102,FC Hansa Rostock,9,FC Schalke 04,1,1,draw,2,2007_FC Hansa Rostock_FC Schalke 04,9.0,4.0,9.0,-3.0
2007,Hannover,10,55,Hannover 96,131,VfL Wolfsburg,2,2,draw,4,2007_Hannover 96_VfL Wolfsburg,9.0,5.0,8.0,7.0
2007,Karlsruhe,10,105,Karlsruher SC,83,Arminia Bielefeld,0,0,draw,0,2007_Karlsruher SC_Arminia Bielefeld,9.0,5.0,8.0,-2.0
2007,Frankfurt,11,91,Eintracht Frankfurt,55,Hannover 96,0,0,draw,0,2007_Eintracht Frankfurt_Hannover 96,11.0,13.0,12.0,0.0
2007,Stuttgart,11,16,VfB Stuttgart,6,Bayer Leverkusen,1,0,win_home,1,2007_VfB Stuttgart_Bayer Leverkusen,19.0,16.0,21.0,-8.0
2007,Gelsenkirchen,11,9,FC Schalke 04,134,Werder Bremen,1,1,draw,2,2007_FC Schalke 04_Werder Bremen,25.0,15.0,36.0,-34.0
2007,Berlin,11,54,Hertha BSC,129,VfL Bochum,2,0,win_home,2,2007_Hertha BSC_VfL Bochum,12.0,10.0,18.0,-13.0
2007,Bielefeld,11,83,Arminia Bielefeld,93,FC Energie Cottbus,1,1,draw,2,2007_Arminia Bielefeld_FC Energie Cottbus,4.0,1.0,3.0,3.0
2007,Wolfsburg,11,131,VfL Wolfsburg,79,1. FC Nürnberg,3,1,win_home,4,2007_VfL Wolfsburg_1. FC Nürnberg,2.0,9.0,5.0,-5.0
2007,Rostock,11,102,FC Hansa Rostock,105,Karlsruher SC,0,0,draw,0,2007_FC Hansa Rostock_Karlsruher SC,3.0,4.0,5.0,-1.0
2007,Dortmund,11,7,Borussia Dortmund,40,FC Bayern München,0,0,draw,0,2007_Borussia Dortmund_FC Bayern München,18.0,24.0,34.0,-46.0
2007,Duisburg,11,107,MSV Duisburg,100,Hamburger SV,0,1,win_away,1,2007_MSV Duisburg_Hamburger SV,16.0,13.0,25.0,-31.0
2007,Cottbus,12,93,FC Energie Cottbus,9,FC Schalke 04,1,0,win_home,1,2007_FC Energie Cottbus_FC Schalke 04,2.0,0.0,6.0,-8.0
2007,Bremen,12,134,Werder Bremen,102,FC Hansa Rostock,1,0,win_home,1,2007_Werder Bremen_FC Hansa Rostock,10.0,5.0,7.0,4.0
2007,München,12,40,FC Bayern München,91,Eintracht Frankfurt,0,0,draw,0,2007_FC Bayern München_Eintracht Frankfurt,36.0,18.0,20.0,36.0
2007,Leverkusen,12,6,Bayer Leverkusen,83,Arminia Bielefeld,4,0,win_home,4,2007_Bayer Leverkusen_Arminia Bielefeld,11.0,10.0,9.0,6.0
2007,Nürnberg,12,79,1. FC Nürnberg,16,VfB Stuttgart,0,1,win_away,1,2007_1. FC Nürnberg_VfB Stuttgart,17.0,12.0,27.0,-40.0
