matchday_nr,home_team_name,away_team_name,hist_home_team_win,hist_draw,hist_away_team_win,hist_goal_dif,season,home_team_id,away_team_id
1,Werder Bremen,FC Bayern München,26,26,60,-102.0,2023,134.0,40.0
1,VfB Stuttgart,VfL Bochum,37,20,15,39.0,2023,16.0,129.0
1,Borussia Dortmund,1. FC Köln,40,25,29,28.0,2023,7.0,65.0
1,Eintracht Frankfurt,SV Darmstadt 98,5,0,3,5.0,2023,91.0,118.0
1,Bayer Leverkusen,RB Leipzig,3,4,7,-4.0,2023,6.0,1635.0
1,1. FC Union Berlin,1. FSV Mainz 05,6,3,5,5.0,2023,80.0,81.0
1,FC Augsburg,Borussia Mönchengladbach,8,8,10,-9.0,2023,95.0,87.0
1,TSG 1899 Hoffenheim,SC Freiburg,7,11,10,-4.0,2023,175.0,112.0
2,FC Bayern München,FC Augsburg,18,2,4,37.0,2023,40.0,95.0
2,Borussia Mönchengladbach,Bayer Leverkusen,22,27,33,-37.0,2023,87.0,6.0
2,1. FC Köln,VfL Wolfsburg,8,10,16,-23.0,2023,65.0,131.0
2,VfL Bochum,Borussia Dortmund,17,22,25,-17.0,2023,129.0,7.0
2,SC Freiburg,Werder Bremen,11,10,23,-34.0,2023,112.0,134.0
2,1. FSV Mainz 05,Eintracht Frankfurt,10,17,11,-3.0,2023,81.0,91.0
2,SV Darmstadt 98,1. FC Union Berlin,3,2,1,6.0,2023,118.0,80.0
2,RB Leipzig,VfB Stuttgart,8,2,0,15.0,2023,1635.0,16.0
3,Werder Bremen,1. FSV Mainz 05,14,7,11,5.0,2023,134.0,81.0
3,VfB Stuttgart,SC Freiburg,21,5,16,11.0,2023,16.0,112.0
3,Borussia Mönchengladbach,FC Bayern München,28,31,51,-70.0,2023,87.0,40.0
3,Eintracht Frankfurt,1. FC Köln,32,30,36,-16.0,2023,91.0,65.0
3,Bayer Leverkusen,SV Darmstadt 98,5,0,1,6.0,2023,6.0,118.0
3,1. FC Union Berlin,RB Leipzig,6,1,5,-5.0,2023,80.0,1635.0
3,FC Augsburg,VfL Bochum,2,0,4,0.0,2023,95.0,129.0
3,TSG 1899 Hoffenheim,VfL Wolfsburg,9,7,14,-11.0,2023,175.0,131.0
4,FC Bayern München,Bayer Leverkusen,52,17,19,68.0,2023,40.0,6.0
4,1. FC Köln,TSG 1899 Hoffenheim,7,7,12,-22.0,2023,65.0,175.0
4,VfL Bochum,Eintracht Frankfurt,26,16,26,-9.0,2023,129.0,91.0
4,SC Freiburg,Borussia Dortmund,5,11,30,-61.0,2023,112.0,7.0
4,VfL Wolfsburg,1. FC Union Berlin,3,3,2,1.0,2023,131.0,80.0
4,1. FSV Mainz 05,VfB Stuttgart,11,8,13,-6.0,2023,81.0,16.0
4,SV Darmstadt 98,Borussia Mönchengladbach,1,3,4,-8.0,2023,118.0,87.0
4,RB Leipzig,FC Augsburg,8,5,1,13.0,2023,1635.0,95.0
5,Werder Bremen,1. FC Köln,35,27,36,-9.0,2023,134.0,65.0
5,FC Bayern München,VfL Bochum,48,15,9,106.0,2023,40.0,129.0
5,VfB Stuttgart,SV Darmstadt 98,5,4,3,9.0,2023,16.0,118.0
