matchday_nr,home_team_name,away_team_name,hist_home_team_win,hist_draw,hist_away_team_win,hist_goal_dif,season
1,Eintracht Frankfurt,FC Bayern München,24.0,22.0,56.0,-80.0,2022
1,Borussia Dortmund,Bayer Leverkusen,36.0,22.0,30.0,19.0,2022
1,1. FC Union Berlin,Hertha BSC,4.0,3.0,3.0,0.0,2022
1,1. FC Köln,FC Schalke 04,39.0,22.0,27.0,27.0,2022
1,Borussia Mönchengladbach,TSG 1899 Hoffenheim,8.0,12.0,10.0,6.0,2022
1,VfL Wolfsburg,Werder Bremen,20.0,9.0,19.0,1.0,2022
1,VfL Bochum,1. FSV Mainz 05,5.0,2.0,9.0,-3.0,2022
1,FC Augsburg,SC Freiburg,5.0,10.0,17.0,-21.0,2022
1,VfB Stuttgart,RB Leipzig,0.0,1.0,7.0,-14.0,2022
2,FC Bayern München,VfL Wolfsburg,39.0,7.0,4.0,84.0,2022
2,Bayer Leverkusen,FC Augsburg,15.0,7.0,0.0,33.0,2022
2,RB Leipzig,1. FC Köln,5.0,3.0,2.0,8.0,2022
2,SC Freiburg,Borussia Dortmund,5.0,11.0,28.0,-55.0,2022
2,1. FSV Mainz 05,1. FC Union Berlin,5.0,2.0,5.0,-4.0,2022
2,TSG 1899 Hoffenheim,VfL Bochum,2.0,0.0,4.0,-2.0,2022
2,Hertha BSC,Eintracht Frankfurt,30.0,18.0,22.0,15.0,2022
2,FC Schalke 04,Borussia Mönchengladbach,28.0,28.0,40.0,-47.0,2022
2,Werder Bremen,VfB Stuttgart,35.0,33.0,38.0,14.0,2022
3,Borussia Dortmund,Werder Bremen,46.0,19.0,41.0,1.0,2022
3,Bayer Leverkusen,TSG 1899 Hoffenheim,16.0,6.0,6.0,21.0,2022
3,1. FC Union Berlin,RB Leipzig,4.0,1.0,5.0,-7.0,2022
3,Borussia Mönchengladbach,Hertha BSC,26.0,17.0,25.0,2.0,2022
3,Eintracht Frankfurt,1. FC Köln,32.0,29.0,35.0,-13.0,2022
3,VfL Wolfsburg,FC Schalke 04,15.0,16.0,17.0,-1.0,2022
3,VfL Bochum,FC Bayern München,9.0,15.0,46.0,-96.0,2022
3,FC Augsburg,1. FSV Mainz 05,13.0,6.0,11.0,-2.0,2022
3,VfB Stuttgart,SC Freiburg,21.0,5.0,14.0,13.0,2022
4,FC Bayern München,Borussia Mönchengladbach,51.0,30.0,27.0,71.0,2022
4,RB Leipzig,VfL Wolfsburg,4.0,5.0,3.0,5.0,2022
4,SC Freiburg,VfL Bochum,7.0,4.0,9.0,-1.0,2022
4,1. FC Köln,VfB Stuttgart,36.0,25.0,31.0,-4.0,2022
4,1. FSV Mainz 05,Bayer Leverkusen,11.0,5.0,16.0,-8.0,2022
4,TSG 1899 Hoffenheim,FC Augsburg,14.0,5.0,5.0,22.0,2022
4,Hertha BSC,Borussia Dortmund,19.0,18.0,33.0,-33.0,2022
4,FC Schalke 04,1. FC Union Berlin,1.0,3.0,0.0,1.0,2022
4,Werder Bremen,Eintracht Frankfurt,43.0,23.0,36.0,10.0,2022
5,Borussia Dortmund,TSG 1899 Hoffenheim,11.0,10.0,7.0,1.0,2022
5,Bayer Leverkusen,SC Freiburg,20.0,13.0,11.0,26.0,2022
5,1. FC Union Berlin,FC Bayern München,0.0,2.0,4.0,-10.0,2022
5,Borussia Mönchengladbach,1. FSV Mainz 05,16.0,12.0,10.0,15.0,2022
5,Eintracht Frankfurt,RB Leipzig,2.0,7.0,3.0,-2.0,2022
5,VfL Wolfsburg,1. FC Köln,15.0,10.0,7.0,23.0,2022
5,VfL Bochum,Werder Bremen,10.0,15.0,41.0,-67.0,2022
5,FC Augsburg,Hertha BSC,3.0,10.0,9.0,-5.0,2022
5,VfB Stuttgart,FC Schalke 04,43.0,17.0,38.0,30.0,2022
6,FC Bayern München,VfB Stuttgart,67.0,21.0,18.0,105.0,2022
6,RB Leipzig,Borussia Dortmund,4.0,2.0,6.0,-4.0,2022
6,SC Freiburg,Borussia Mönchengladbach,15.0,14.0,13.0,10.0,2022
6,1. FC Köln,1. FC Union Berlin,5.0,2.0,7.0,8.0,2022
6,TSG 1899 Hoffenheim,1. FSV Mainz 05,8.0,8.0,12.0,-7.0,2022
6,Eintracht Frankfurt,VfL Wolfsburg,8.0,13.0,21.0,-17.0,2022
6,Hertha BSC,Bayer Leverkusen,14.0,13.0,25.0,-29.0,2022
6,FC Schalke 04,VfL Bochum,32.0,11.0,15.0,20.0,2022
6,Werder Bremen,FC Augsburg,8.0,2.0,10.0,-3.0,2022
7,Borussia Dortmund,FC Schalke 04,36.0,30.0,32.0,21.0,2022
7,Bayer Leverkusen,Werder Bremen,22.0,33.0,27.0,6.0,2022
7,1. FC Union Berlin,VfL Wolfsburg,1.0,2.0,3.0,-3.0,2022
7,1. FSV Mainz 05,Hertha BSC,11.0,16.0,13.0,-10.0,2022
7,TSG 1899 Hoffenheim,SC Freiburg,7.0,10.0,9.0,-3.0,2022
7,Borussia Mönchengladbach,RB Leipzig,2.0,3.0,7.0,-8.0,2022
7,VfL Bochum,1. FC Köln,14.0,16.0,38.0,-47.0,2022
7,FC Augsburg,FC Bayern München,3.0,2.0,17.0,-36.0,2022
7,VfB Stuttgart,Eintracht Frankfurt,42.0,22.0,34.0,12.0,2022
8,FC Bayern München,Bayer Leverkusen,51.0,17.0,18.0,65.0,2022
8,RB Leipzig,VfL Bochum,6.0,0.0,0.0,10.0,2022
8,SC Freiburg,1. FSV Mainz 05,13.0,13.0,16.0,-15.0,2022
8,1. FC Köln,Borussia Dortmund,28.0,25.0,39.0,-24.0,2022
8,Eintracht Frankfurt,1. FC Union Berlin,6.0,4.0,2.0,12.0,2022
8,VfL Wolfsburg,VfB Stuttgart,20.0,7.0,19.0,7.0,2022
8,Hertha BSC,TSG 1899 Hoffenheim,7.0,5.0,12.0,-13.0,2022
8,FC Schalke 04,FC Augsburg,10.0,8.0,2.0,12.0,2022
8,Werder Bremen,Borussia Mönchengladbach,38.0,25.0,41.0,-21.0,2022
9,Borussia Dortmund,FC Bayern München,25.0,29.0,52.0,-84.0,2022
9,Bayer Leverkusen,FC Schalke 04,34.0,22.0,18.0,22.0,2022
9,1. FSV Mainz 05,RB Leipzig,3.0,2.0,7.0,-19.0,2022
9,TSG 1899 Hoffenheim,Werder Bremen,6.0,10.0,10.0,-1.0,2022
9,Borussia Mönchengladbach,1. FC Köln,52.0,19.0,27.0,59.0,2022
9,VfL Bochum,Eintracht Frankfurt,25.0,15.0,26.0,-12.0,2022
9,FC Augsburg,VfL Wolfsburg,7.0,7.0,8.0,-5.0,2022
9,VfB Stuttgart,1. FC Union Berlin,1.0,4.0,1.0,1.0,2022
9,Hertha BSC,SC Freiburg,15.0,17.0,14.0,1.0,2022
10,FC Bayern München,SC Freiburg,31.0,9.0,4.0,63.0,2022
10,RB Leipzig,Hertha BSC,10.0,1.0,1.0,33.0,2022
10,1. FC Union Berlin,Borussia Dortmund,2.0,0.0,4.0,-9.0,2022
10,1. FC Köln,FC Augsburg,6.0,7.0,7.0,4.0,2022
10,Eintracht Frankfurt,Bayer Leverkusen,27.0,13.0,34.0,-27.0,2022
10,VfL Wolfsburg,Borussia Mönchengladbach,22.0,9.0,13.0,15.0,2022
10,VfB Stuttgart,VfL Bochum,35.0,20.0,15.0,35.0,2022
10,FC Schalke 04,TSG 1899 Hoffenheim,9.0,7.0,10.0,6.0,2022
10,Werder Bremen,1. FSV Mainz 05,14.0,6.0,10.0,7.0,2022
11,Borussia Dortmund,VfB Stuttgart,40.0,24.0,40.0,5.0,2022
11,Bayer Leverkusen,VfL Wolfsburg,24.0,8.0,20.0,12.0,2022
11,SC Freiburg,Werder Bremen,9.0,10.0,23.0,-37.0,2022
11,1. FSV Mainz 05,1. FC Köln,11.0,9.0,10.0,7.0,2022
11,TSG 1899 Hoffenheim,FC Bayern München,4.0,6.0,18.0,-40.0,2022
11,Borussia Mönchengladbach,Eintracht Frankfurt,33.0,28.0,35.0,1.0,2022
11,VfL Bochum,1. FC Union Berlin,7.0,3.0,12.0,-7.0,2022
11,FC Augsburg,RB Leipzig,1.0,4.0,7.0,-12.0,2022
11,Hertha BSC,FC Schalke 04,30.0,14.0,38.0,-22.0,2022
12,FC Bayern München,1. FSV Mainz 05,23.0,3.0,6.0,52.0,2022
12,RB Leipzig,Bayer Leverkusen,6.0,4.0,2.0,4.0,2022
12,1. FC Union Berlin,Borussia Mönchengladbach,3.0,2.0,1.0,1.0,2022
12,1. FC Köln,TSG 1899 Hoffenheim,6.0,6.0,12.0,-24.0,2022
12,Eintracht Frankfurt,Borussia Dortmund,31.0,20.0,47.0,-56.0,2022
12,VfL Wolfsburg,VfL Bochum,10.0,4.0,12.0,-3.0,2022
12,VfB Stuttgart,FC Augsburg,10.0,1.0,11.0,-9.0,2022
12,FC Schalke 04,SC Freiburg,23.0,9.0,20.0,6.0,2022
12,Werder Bremen,Hertha BSC,38.0,20.0,20.0,44.0,2022
13,Borussia Dortmund,VfL Bochum,24.0,21.0,17.0,14.0,2022
13,Bayer Leverkusen,1. FC Union Berlin,2.0,3.0,1.0,2.0,2022
13,SC Freiburg,1. FC Köln,17.0,7.0,14.0,7.0,2022
13,1. FSV Mainz 05,VfL Wolfsburg,10.0,15.0,17.0,-14.0,2022
13,TSG 1899 Hoffenheim,RB Leipzig,3.0,3.0,6.0,-1.0,2022
13,Borussia Mönchengladbach,VfB Stuttgart,29.0,30.0,41.0,-31.0,2022
13,FC Augsburg,Eintracht Frankfurt,7.0,7.0,6.0,-4.0,2022
13,Hertha BSC,FC Bayern München,10.0,20.0,44.0,-94.0,2022
13,Werder Bremen,FC Schalke 04,46.0,22.0,38.0,28.0,2022
14,FC Bayern München,Werder Bremen,58.0,26.0,26.0,96.0,2022
14,RB Leipzig,SC Freiburg,6.0,4.0,4.0,11.0,2022
14,1. FC Union Berlin,FC Augsburg,1.0,5.0,4.0,-4.0,2022
14,1. FC Köln,Bayer Leverkusen,17.0,25.0,26.0,-18.0,2022
14,Eintracht Frankfurt,TSG 1899 Hoffenheim,9.0,8.0,9.0,1.0,2022
14,VfL Wolfsburg,Borussia Dortmund,9.0,12.0,31.0,-54.0,2022
14,VfL Bochum,Borussia Mönchengladbach,20.0,22.0,26.0,-25.0,2022
14,VfB Stuttgart,Hertha BSC,25.0,18.0,27.0,7.0,2022
14,FC Schalke 04,1. FSV Mainz 05,19.0,9.0,6.0,26.0,2022
15,Bayer Leverkusen,VfB Stuttgart,39.0,20.0,23.0,40.0,2022
15,SC Freiburg,1. FC Union Berlin,3.0,3.0,4.0,2.0,2022
15,1. FSV Mainz 05,Eintracht Frankfurt,10.0,16.0,10.0,0.0,2022
15,TSG 1899 Hoffenheim,VfL Wolfsburg,9.0,7.0,12.0,-9.0,2022
15,Borussia Mönchengladbach,Borussia Dortmund,31.0,28.0,41.0,-22.0,2022
